Varchar(150),Varchar(150),Varchar(150),INT,Varchar(6),Varchar(50),Varchar(35),nvarchar(50),nvarchar(50),nvarchar(50),nvarchar(50),Varchar(50),,,Bit,"numeric(18,2)","numeric(18,2)",int,"numeric(18,2)",,Varchar(15)
SUJEETHA ENTERPRISES,OLD NO:95 1st. FLOOR , ,CHENNAI,600001,sujeethapipes@gmail.com,9710444115,,,,,1001245,MG09,Distributor,,1,-5879841,,,,
TATA STEEL LTD,ODISHA ACCOUNT  ADVENT ENVIROCARE T, ,JAJPUR,755026,info@krishnapipes.com, ,,,,,1001246,MG04,Distributor,,1,0,,,,
NTPC LTD,VINDHYACHAL SUPER THERMAL POWER STA, ,SINGRAULI,486885,info@krishnapipes.com, ,,,,,1001247,MG04,Distributor,,1,0,,,,
G+H Schallschutz GmbH,Bürgermeister-Grünzweig-Str. 1 , ,Ludwigshaf,67059,Einkauf-SK@GuH-Gruppe.de, ,,,,,2000063,MG05,Distributor,,1,0,,,,
SHREE KAILASH PATI PIPE DISTRIBUTOR,INDERPRASTHA COLONY  MAIN SONIPAT R, ,ROHTAK,124001,kailashpati.astral@gmail.com, ,,,,,1000707,MG07,Distributor,,1500000,44888,,,,
SASTHA PIPES,NEW NO:9 1ST STREET THIRU NAGAR  NE, ,CHENNAI,600026,saasthapipes@gamil.com, ,,,,,1000708,MG09,Distributor,,1000000,2747,,,,
SHASHI MARBLES,250 A PANDEYWATI DEORIA BYPASS  COR, ,GORAKHPUR,273016, , ,,,,,1000709,MG07,Distributor,,1500000,0,,,,
SELVAN ELECTRICALS,156 A/1 PANCHAYAT UNION STREET  TIR, ,VALLIYOOR,627117,selvannco@ymail.com,94431820519,,,,,1000710,MG09,Distributor,,1,-254193,,,,
SRI JAYALAKSHIME STORE,28 MOORTHY NAYANAR STREET  PALAYAMK, ,TIRUNELVELI,627002,jksbrothers333@gmail.com,98421572889,,,,,1000711,MG09,Distributor,,1,-67720.21,,,,
SRI VIJAY TRADING CO.,33-14-309 ALLIPURAM MAIN ROAD , ,VISAKHAPATNAM,530001,vtc_sushil@yahoo.com,9440858936,,,,,1000712,MG01,Distributor,,1,-1275738.8,,,,
SHANTI ENTERPRISE,D/G-30 NEW DURGA BAZAAR  DIST:SABAR, ,HIMATNAGAR,383001,shantienterprise7@gmail.com, ,,,,,1000713,MG08,Distributor,,1,-11161,,,,
SRI LAKSHMI ELECTRICALS & HARDWARE,14-557 PALACE ROAD , ,KUPPAM,517425,poojapinka@gmail.com, ,,,,,1000714,MG01,Distributor,,1,-61707.5,,,,
SURAKSHA TRADERS,MAIN ROAD GANDHI CIRCLE  BUS STAND, ,BABALESHWA,586113,surakshaengg2012@rediff.com,9448401509,,,,,1000715,MG03,Distributor,,1,-75158.33,,,,
SRI RAGHAVENDRA ELECTRICALS & MACHI,344/C MALANGU ROAD MEERA COMPLEX  V, ,VANIYAMBADI,635751,electricals.harish@yahoo.com,9486254087,,,,,1000716,MG09,Distributor,,1,0,,,,
SWORD STEEL PVT. LTD.,B-294-295C NEAR ICICI BANK  RIICO C, ,ALWAR,301019,swordsteels@gmail.com, ,,,,,1000717,MG08,Distributor,,1,-133278,,,,
RAM SANITATIONS,OPP. UDPI HOTEL  NH-9 MAIN ROAD , ,OMERGA,413606,sanjivdsurya@gmail.com, ,,,,,1000718,MG02,Distributor,,500000,4036,,,,
SREE MARKETING,47/8-1 RAJAMAAN NAGAR R.R.BUILDING , ,MADURAI,625009,sreemdusk@gmail.com, ,,,,,1000719,MG09,Distributor,,1,-1773671,,,,
SRI SRINIVASA ENTERPRISE,NANDAYALA-ONGLE ROAD  DIST:PRAKASHA, ,GIDDALUR,523357, , ,,,,,1000720,MG08,Distributor,,1,17383,,,,
SRI VIGNESWARA ELECTRICALS,THIMMANAGUNTA  DAKKALI MANDAL  NELL, ,NELLORE,524132,srivigneswaraelectricals56@gmail.com, ,,,,,1000721,MG08,Distributor,,1,5904,,,,
SHREE KAILASH PATI PIPE DISTRIBUTER,E2/936  G/F KH. NO. 215  GALI NO. 1, ,DELHI,110094,kailashpati.astral@gmail.com, ,,,,,1000722,MG07,Distributor,,1,65712.04,,,,
SHASHI ENTERPRISE,NO. 51 LAXMAN LAYOUT JAMBUSAVARI DI, ,BANGALORE,560083, , ,,,,,1000723,MG03,Distributor,,1,0,,,,
SRI MATHAJI ENTERPRISES,M.G.ROAD NEAR OLD BUS STAND , ,CHIKKABALLAPUR,562101, , ,,,,,1000726,MG03,Distributor,,1,-524444.01,,,,
SATTVA HOUSING PVT. LTD.,# 3 4TH FLOOR  SALARPURIA WINDSOR, ,BANGALORE,560042, , ,,,,,1000731,MG03,Distributor,,1,-183290,,,,
SAGAR MACHINERY,OPP. OLD BUS STAND  MAIN ROAD , ,MAJALGAON,431131,kalantri_sagar@rediffmail.com,9422242134,,,,,1000841,MG02,Distributor,,500000,34657.17,,,,
SHRI GANESH MACHINERY STORES,MACHINERY MARKET  DIST. NANDED, ,DEGLOOR,431717,achintalwar16@gmail.com,9422171433,,,,,1000842,MG02,Distributor,,500000,52377.78,,,,
SUDHAKARAN NAIR & CO (P) LTD.,IBIS HOTEL  PLOT NO. 266 TTC/TURBE , ,NAVI MUMBA,400701, , ,,,,,1000844,MG01,Distributor,,1,0,,,,
SAWANT TRADING CO.,1405 SAWANT CHEMBER  MADHAVNAGAR RO, ,SANGLI,416416,sawanttradingco@yahoo.com, ,,,,,1000847,MG02,Distributor,,1000000,600,,,,
SHRI MAHALAXMI CERAMICS,6/1109/1 OPP BADBADE HOSPITAL  SANG, ,ICHALKARANJI,416115,mahalaxmi_ceramics@yahoo.co.in, ,,,,,1000848,MG02,Distributor,,1000000,-75513,,,,
SANTOSH TRADERS,YASH COMPLEX  NR. S.T.STAND NAGAR R, ,JAMKHED,413201,santoshtraders2000@gmail.com, ,,,,,1000849,MG02,Distributor,,500000,404313.13,,,,
RAJA ELECTRICALS AND PUMPS.,B.O. SHOP NO:2 22-229/33  KATAMANCH, ,CHITTOOR,517501,rajaelectricalsandpumps@yahoo.co.in,9849165550,,,,,1000850,MG01,Distributor,,1000000,0,,,,
PARAS TILES INDUSTRIES,PLOT NO. D/26  MIDC , ,NANDED,431602,parassanitation@yahoo.com,9890007226,,,,,1000851,MG02,Distributor,,500000,0,,,,
MAA VANKAL CERAMIC,JAMJI KI GALI, ,BARMER,344001,rameshtt067@gmail.com, ,,,,,1001258,MG08,Distributor,,1,65349.28,,,,
BATH COLLECTION,SONKH ROAD, ,MATHURA,281001,bathcollectionmathura1016@gmail.com, ,,,,,1001259,MG07,Distributor,,1,130705,,,,
SRI VIJAYA VISAKHA MILK PRODUCERS C,VISAKHA DAIRY  OPP.BHEL  NATAYYAPALEM , ,VISAKHAPAT,530012,purchase@visakhadairy.com,9963553832,,,,,1001260,MG01,Distributor,,1,-3964,,,,
S.S.GAS LAB ASIA PVT. LTD,A-6/3 JHILMIL INDUSTRIAL AREA, ,DELHI,110095,asanengineers@gamil.com, ,,,,,1001261,MG04,Distributor,,1,0,,,,
LAXMI ENGINEERS,MAHAVIR ENCLAVE MARKET, ,ROORKEE,247667,vs_roorkee@rediffmail.com, ,,,,,1001262,MG07,Distributor,,1,35325,,,,
GOOD WILL TRADERS,RUBY COMPLEX NEAR BASAVESHWAR CIRCLE , ,BIDAR,585401, , ,,,,,1001263,MG03,Distributor,,1,32521,,,,
BHARAT PETROLEUM CORPORATION LIMITE,A/C. DRIPLEX WATER ENGINEERING LIMITED., ,ERNAKULAM,682302,asanengineers@gmail.com, ,,,,,1001264,MG04,Distributor,,1,0,,,,
THEYSOHN EXTRUSIONSTECHNIK (I) PVT.,129  AKSHAY COMPLEX , ,PUNE,411001,accounttetpune@gnail.com, ,,,,,1001265, ,Distributor,,1,-1445850,,,,
ALIA CONSTRUCTION (PVT) LTD,3RD FLOOR  ALIA BUILDING , ,MALE,20311, , ,,,,,2000050,MG05,Distributor,,1,0,,,,
UNI ENGINEERING PVT LTD,G FINIAAGE, ,MALE,.,md@uniengineering.com.mv, ,,,,,2000051,MG05,Distributor,,1,0,,,,
SOON TAT EXPRESS PTE LTD,37 TANNERY LANE #01-05 TANNERY HOUSE , ,SINGAPORE, ,mjasfr@cbn.net.id, ,,,,,2000052,MG05,Distributor,,1,0,,,,
V.K.HARDWARE STORE,OPP. MANGO MASALA RESTURENT  INDIA, ,AJMER,305001,vkhardwarestore@gmail.com,9351570700,,,,,1000825,MG08,Distributor,,2500000,-2079524,,,,
VAIBHAV M/C STORES,MARUTI CHOWK  GANGAPUR, ,AURANGABAD,431109, ,9822052725,,,,,1000826,MG08,Distributor,,1,-7106,,,,
VASUDHA SALES,PLOT NO. 105 OLD GIDC  GANESH SISOD, ,NAVSARI,396424,hemansunaik@yahoo.com,9825163834,,,,,1000827,MG08,Distributor,,10000000,-4805977.03,,,,
VAIBHAV ENTERPRISES,CHAUHAN ARCADE  LALJI HIRHJI ROAD , ,RANCHI,834001,vaibhavent12@gmail.com, ,,,,,1000828,MG08,Distributor,,2000000,-822014,,,,
VISHNU TRADING CO.,GADI MODE KUNDA COLONY  HODAL , ,PALWAL,121102, , ,,,,,1000829,MG07,Distributor,,1,0,,,,
VELICKAKATHU TRADERS,KOORAPPALLY BUILDING  MAIN ROAD , ,THALAYOLAP,686605,velickakathutraders@gmail.com,94462879499,,,,,1000830,MG06,Distributor,,1000000,3875,,,,
VIGNESWARA ENTERPRISES,NEAR POTHURAJU GANDI  KAKNI PALEM R, ,ADDANKI,523201, , ,,,,,1000831,MG08,Distributor,,1,-2163,,,,
VIJAYADURGA ENTERPRISE,NO.6-4-24 PEDDADA VARI STREET  BEHI, ,RAJAHMUNDR,533101,anand_vde@yahoo.com, ,,,,,1000832,MG08,Distributor,,1,33224,,,,
WESTERN ENTERPRISES INDIA PVT. LTD.,8-3-104/04 WESTERN CHEMBER  N.H.NO., ,SECUNDERABAD,500026,info@westernenterprises.in,9885235400,,,,,1000833,MG01,Distributor,,32000000,-25729884,,,,
WALI ASSOCIATES,BESIDE WALI AGENCIES  OPP. BDO OFFI, ,GOKAK,591307, , ,,,,,1000834,MG03,Distributor,,1000000,24232,,,,
YEOLAWALA PAINTS & HARDWARE,7 & 8  SOMWAR PETH  GUD BAZAR  DIST, ,MALEGAON,423203,shirishpatni@rediffmail.com,9371324252,,,,,1000835,MG10,Distributor,,2000000,1709,,,,
YANNI PRABHAKAR SETTY,MAIN ROAD HOSPET TQ.   BELLARY DIST, ,KAMPLI,583132, , ,,,,,1000836,MG03,Distributor,,1000000,11132,,,,
BEAUTY BOUNTY,4  LUCKY APARTMENTS  OPP. MAHARAJA, ,GOA,403802, , ,,,,,1000837,MG02,Distributor,,1,-419767.57,,,,
SRI BALAAJI ENTERPRISES,85/A NETHAJI ROAD, ,TIRUPATHI,517501,tapsworld@eth.net, ,,,,,1000838,MG01,Distributor,,1,-42564.05,,,,
SIDDHANT TRADERS,SHOP NO. - 11 NATH PLAZA  SAAT RAST, ,SOLAPUR,413001, ,9373057363,,,,,1000839,MG02,Distributor,,1000000,-154183.49,,,,
BHUSHAN STEEL & STRIPS LIMITED,INTERGRATED STEEL PLANT DIVISION  M, ,DHENKANAL,759121, , ,,,,,1000840,MG08,Distributor,,1,7231,,,,
LARSEN & TOUBRO LTD. ,CONSTR. DIVI.-B&F IC HYD. METRO RAI, ,HYDERABAD,500039, , ,,,,,1000843,MG01,Distributor,,1,0,,,,
SUDHAKARAN NAIR & CO (P) LIMITED,C/O. IBIS HOTEL  PLOT NO. 9 MIDC SA, ,NASIK,422007, , ,,,,,1000845,MG01,Distributor,,1,0,,,,
ORCHID'S EGO,SHOP NO. 2 & 3 BLDG. NO. 2  APNA BA, ,AURANGABAD,431002, ,9763885734,,,,,1000846,MG02,Distributor,,1,2650,,,,
SUDHAKARAN NAIR & CO (P) LTD.,A/C TATA CONSULTANCY SERVICES LTD. , ,PUNE,411057, , ,,,,,1000852,MG02,Distributor,,1,-137234,,,,
RAVI STORES,BIG BAZAR STREET , ,CHAMARAJANAGAR,571313,ravistorescmr@gmail.com, ,,,,,1000962,MG03,Distributor,,1000000,-416097,,,,
RAM PRAKASH CHOPRA & SONS,GODOWN.: 147-148 BANDA BHADUR NAGAR, ,JALANDHAR,144001,rpcpipes@gmail.com,92172209299,,,,,1000963,MG07,Distributor,,1500000,112523,,,,
RAUT STEEL & HARDWARE,BIPASS ROAD , ,BHOSARE,413208,rautsteel@rediffmail.com, ,,,,,1000964,MG02,Distributor,,500000,111004,,,,
RELIANCE INDUSTRIES LIMITED,WATER TREATMENT FACILITY PROJECT PH, ,JAMNAGAR,361140, , ,,,,,1000965,MG04,Distributor,,1,-658312.1,,,,
SHREEJI ENTERPRISE,3  BOMBAY COMM  COMMERCIAL BLDG , ,BHUJ,370001,shreejienterprise2001@gmail.com,98245441889,,,,,1000966,MG08,Distributor,,4200000,-61007,,,,
SHREE DURGA PIPES & HARDWARES,OPP. TOWER GARDEN , ,DHULE,424001,durgapipe@yahoo.com,9822188614,,,,,1000967,MG10,Distributor,,3300000,-1005555,,,,
SANJIWAL CONCERNS,DATTA HOUSE NO. 1 RANGRATE , ,SRINAGAR,190001,manjitsingh8957@gmail.com, ,,,,,1000968,MG08,Distributor,,2000000,-238714,,,,
SHREE SHYAM TUBE COMPANY,KH NO 19-2 DARSHAN VIHAR , ,DELHI,110052,SHRISHYAMTUBECO@YAHOO.IN, ,,,,,1000969,MG07,Distributor,,5000000,-376638,,,,
SHRI NAV DURGA TRADING COMPANY,CIVIL LINES (BEFORE M.P.FIRLS COLLE, ,GORAKHPUR,273001,sndtcompany@gmail.com,93364024769,,,,,1000970,MG07,Distributor,,2000000,59226,,,,
SHIVANAND AGENCIES,H.BASAPPA BUILDING NEAR KARNATAKA B, ,HUBLI,580028,shivanandagen@gmail.com, ,,,,,1000971,MG03,Distributor,,2000000,-14600,,,,
SERENE PROPERTIES PVT.LTD.-SEZ,SEPZ-BLDG. 9  AT AIROLI  NAVIMUMBAI, ,NAVI MUMBA,400708, , ,,,,,1000972,MG10,Distributor,,1,-26628,,,,
SHREE LAKSHMI ENGINEERS,G-2 B.WING KARTIKEYA TOWER , ,THANE,401107, ,9820333283,,,,,1000973,MG08,Distributor,,1,-10763,,,,
S.L.S. ELECTRICALS,# 2/183 MADRAS ROAD , ,RAJAMPET,516115,syambablu@gmail.com, ,,,,,1000974,MG01,Distributor,,1,3587,,,,
SRI LAKSHMI NARASIMHA ENTERPRISES,D.NO.:2/35 BY PASS ROAD , ,KADAPA,516115,babudalagi@gmail.com, ,,,,,1000975,MG08,Distributor,,1,2210,,,,
TRIVENI ENGINEERING & INDUSTRIES LI,HOUSE NO.332 D , ,ERNAKULAM,682039,aktyagi@projects.trivenigroup.com, ,,,,,1000976,MG04,Distributor,,1,-2760265,,,,
UNITED TRADING COMPANY,PLOT NO. X-49 HINGNA MIDC , ,NAGPUR,440028,uspc84@hotmail.com, ,,,,,1000977,MG08,Distributor,,2000000,0,,,,
VEOLIA WATER (INDIA) PVT. LTD,HOUSE NO.232/A PLOT NO.200-A  NEAR, ,NAGPUR,440010,Darshan.Rawat@veolia-india.com,9730013424,,,,,1000978,MG04,Distributor,,1,-8935,,,,
LEGEND MARKETING,XXXII/667., ,COCHIN,682033,ca_akash@hotmail.com,9846081251,,,,,1000982,MG06,Distributor,,1,-1258927,,,,
KISHOR STEEL (P) LTD.,JEEVANDEEP BUILDING , ,SILIGURI,734001,pkchachan@gmail.com, ,,,,,1000985,MG08,Distributor,,1,1847026.58,,,,
AAYESHA ELECTRONICS,MAIN ROAD , ,PUSAD,445204,ayesha.electricals.psd@gmail.com, ,,,,,1000987,MG08,Distributor,,1,34920,,,,
SRI SHIVA SAI ENGINEERING,MAIN ROAD    DI:GUNTUR, ,MACHERLA,522426,ashokjeethuri@gmail.com, ,,,,,1000724,MG08,Distributor,,1,5852,,,,
SHRI RAM MACHINERY STORE,UDAWANT COMPLEX  OPP . KRUSHI UTTPA, ,RAHURI,413705,moreshyam19@gmail.com, ,,,,,1000725,MG08,Distributor,,1,-6007,,,,
SRI VINAYAKA AGENCIES,21/388 V.S.M.STREET , ,KADAPA,516001,vinayaka_texmo_kdp@yahoo.in, ,,,,,1000727,MG08,Distributor,,1,11936,,,,
SRI MALATHESHA ENTERPRISES,HUVINA HADAGALI  BUSTAND ROAD , ,HADAGALI,583219,srimalatheshaent@gmail.com, ,,,,,1000728,MG03,Distributor,,1,1074,,,,
SHIVSHAKTI TRRIGATION & AGROTECH,NEAR MURARKA COLLAGE  ROKADIYA HANU, ,SHEGAON,444203,shivshaktiirrigation99@gmail.com, ,,,,,1000729,MG08,Distributor,,1,2766,,,,
SHREE PADMAVATI ENGINEERS (I) PVT.,MANGU SINGH MARKET VILL:BASAI  SECT, ,GAUTAMBUDDHNAGAR,201301,pankaj@khodiyargroup.com, ,,,,,1000730,MG10,Distributor,,1,-1748399,,,,
TECHNO AQUA TECH PVT. LTD.,NO. 14-39-27 Z.P.JUNCTION  MAHARANI, ,VISAKHAPATNAM,530002,sales@technoaquatech.com,9397834299,,,,,1000853,MG01,Distributor,,1,0,,,,
ASSOCIATED ENGINEERING COMPANY,20/1 SHRI SHAKTI NANDANAVANAM B STR, ,BANGALORE,560008,asseng@vsnl.com,9819240062,,,,,1000988,MG10,Distributor,,1,-41814,,,,
UNIVERSAL PIPE CENTRE,MASJID ROAD , ,THRISSUR,680021,universalpipecentrecpvc@gmail.com, ,,,,,1001187,MG06,Distributor,,1,-395267,,,,
DELTA ELECTRO MECHANICAL PVT. LTD.,109  REGENT PRIME , ,BANGALORE,560066,bangalore@deltaem.com,9972579671,,,,,1001188,MG03,Distributor,,1,-6666375,,,,
GLOBAL AQUA,PLOT NO.17, ,PUNE,411062,sharmaN@aquatech.com, ,,,,,1001189,MG04,Distributor,,1,0,,,,
AMARARAJA INFRA PVT LTD,EXTN WATER SUP& SEWAGE DISPOSAL WOR, ,CHITTOOR,517520,ariphe@amararaja.co.in,9985287323,,,,,1001190,MG09,Distributor,,1,0,,,,
AMARARAJA INFRA PVT LTD,ACID PROOF TILES- RAW ACID STORAGE, ,CHITTOOR,517520,ariphe@amararaja.co.in,9985287323,,,,,1001191,MG09,Distributor,,1,0,,,,
MARUTI SUZUKI INDIA LTD,PALAM GURGAON ROAD, ,GURGAON,122015,asanengineers@gmail.com, ,,,,,1001192,MG04,Distributor,,1,0,,,,
ARIHANT MARKETING, , ,VIJAYPURA,586103,arihant.astral@gmail.com,9243330111,,,,,1001193,MG03,Distributor,,1,0,,,,
TAMILNADU NEWPRINT AND PAPERS LIMIT,UNIT-1MONDIPATTI VILLAGE , ,TIRUCHIRAPPALLI,621306,postorder@aquadesign.in, ,,,,,1001195,MG04,Distributor,,1,0,,,,
MEHTA ENTERPRISE,SANGHVI HOUSE  ROAD NO.4  UDYOGNAGA, ,SURAT,394210,sanghvimehta@yahoo.com, ,,,,,1001196,MG04,Distributor,,1,-91948,,,,
H JASVANTRAI ENGINEERING PVT. LTD., , ,PUNE,411057,hiren@hjasvantrai.com,9867287696,,,,,1001197,MG10,Distributor,,1,0,,,,
AQUA SOLUTIONS PVT LTD,H. SQUALO    SEESUN MAGU, ,MALE,20028,naeem@aquasolutions.mv, ,,,,,2000039,MG05,Distributor,,1,0,,,,
KHUSHI TRADERS,NIRZAR ROAD  NR. C.B.PETROL PUMP, ,NANDURBAR,425912,dilipmantri_76@gmail.com, ,,,,,1000871,MG08,Distributor,,1,20336,,,,
PRAJAPITA BRAHMA KUMARIS ISHWARIYA,MANMOHAN NIVAS , ,ABU ROAD,307510,bkrajendrasv@gmail.com, ,,,,,1001153,MG08,Distributor,,1,0,,,,
PRAJAPITA BRAHMA KUMARIS ISHWARIYA,PREM NIWAS , ,ABU ROAD,307510,bkrajendrasv@gmail.com, ,,,,,1001154,MG08,Distributor,,1,0,,,,
PRAJAPITA BRAHMA KUMARIS ISHWARIYA,KITCHEN , ,ABU ROAD,307510,bkrajendrasv@gmail.com, ,,,,,1001155,MG08,Distributor,,1,0,,,,
AMARA RAJA INFRA PRIVATE LIMITED,CONSTRUCTION OF QA LAB  TRAINING RO, ,TIRUPATHI,517520,gpl@amararaja.co.in, ,,,,,1001156,MG09,Distributor,,1,0,,,,
AMARA RAJA INFRA PRIVATE LIMITED,WATER DISTRIBUTION SYSTEM PHASE-2 A, ,TIRUPATHI,517520,gpl@amararaja.co.in, ,,,,,1001157,MG09,Distributor,,1,0,,,,
BHAVNAGAR ENERGY COMPANY LTD,VILL. PADVA  TAL: GHOGHA, ,BHAVNAGAR, ,ravi.aggarwal@projects.trivenigroup.com, ,,,,,1001158,MG04,Distributor,,1,0,,,,
ROSA POWER SUPPLY COMPANY LIMITED,HARDOI-55KM  STATE HIGHWAY NO.25, ,SHAHJAHANPUR, ,asanengineers@gmail.com, ,,,,,1001159,MG04,Distributor,,1,0,,,,
ULTRATECH CEMENT LIMITED,A/C. ION EXCHANGE ( INDIA) LTD, ,KUTCH,370511,anand.naik@ionexchange.co.in, ,,,,,1001160,MG04,Distributor,,1,0,,,,
SHRIRAM PISTON & RINGS LTD,MEERUT ROAD, ,GHAZIABAD,201302,asanengineers@gmail.com, ,,,,,1001161,MG04,Distributor,,1,0,,,,
RAHUL TRADERS HUF, , ,DAPOLI,415712, ,9422429744,,,,,1001162,MG02,Distributor,,1,0,,,,
ABHISHEK MILLENIUM CONTRACTS PVT. L, , ,MANGLORE,575014,jagannath@amcplindia.com,7795685669,,,,,1001163,MG10,Distributor,,1,-4401,,,,
ION EXCHANGE PROJECTS AND ENGG. LTD,VASHI , ,NAVI MUMBAI,400705, , ,,,,,1001164,MG04,Distributor,,1,-13619,,,,
VEER-O-METALS PVT. LTD,HEGGADADEVAPURA VILLAGE, ,BANGALORE,562123,vasudevh.eou@gmail.com, ,,,,,1001165,MG04,Distributor,,1,0,,,,
JAISWAL IRON STORE, , ,BASTI,272001,arvindjtbst@gmail.com,9838727222,,,,,1001166,MG07,Distributor,,1,-10776,,,,
SHUBHAM ENTERPRISES,SHOP NO.13/B GROUND FLOOR  5B DATTA, ,MUMBAI,400067,shubhamenterprises78@gmail.com,93231221949,,,,,1001167,MG12,Distributor,,1,2236,,,,
SANKET TRADING,A-26 KHAND UDHYOG CO.OP, ,SURAT, ,divyasanket@yahoo.com, ,,,,,1001168,MG04,Distributor,,1,0,,,,
DB POWER LIMITED,VILLAGE -BADADHARA JANJGIR, ,CHAMPA,495695,traders@mahamia.com, ,,,,,1001169,MG04,Distributor,,1,0,,,,
SAUD ABDUL AZIZ AL-SALEH GEN. TRADI,PO BOX 2634 SAFAT 13027 , ,KUWAIT,., , ,,,,,2000037,MG05,Distributor,,1,0,,,,
DR. NARLA TATA RAO THERMAL POWER ST,THE ASST. DIVISIONAL ENGINER/STORES, ,KRISHNA DISTRICT,521456, ,9908059322,,,,,1000854,MG04,Distributor,,1,-50646,,,,
LARSEN & TOUBRO LTD. ,IIT HYDERABAD PROJECT PHASE-1A KAND, ,MEDAK,502285, , ,,,,,1000855,MG01,Distributor,,1,-4681089,,,,
APOLLO ELECTRICALS,41-4-3/11F TADITHOTA  GARAPATHI IND, ,RAJAHMUNDR,533103, ,9440361561,,,,,1000856,MG01,Distributor,,1,0,,,,
UMIYA TRADERS,OPP. S.T.STAND NEAR VIJAYA BANK  A/, ,SOLAPUR,413216,pateldinesh011@gmail.com,9422647825,,,,,1000857,MG02,Distributor,,500000,95809,,,,
VARSHA AGENCIES,2656 KAPAD BAZAR    A/P BARSHI, ,SOLAPUR,413401,akkshaylad011@gmail.com,9822997197,,,,,1000858,MG02,Distributor,,1000000,9939.06,,,,
SAI NAVITHA ENTERPRISES,NO.13/3/389/2 R.NO. G4 GAYATHRI COM, ,ANANTHAPUR,515001,sainavitha.entp@gmail.com, ,,,,,1000859,MG08,Distributor,,1,-16335,,,,
BHARAT ENTERPRISES,12-3-15 PEENA MOHAMMAD STREET  TARA, ,VIJAYAWADA,520001,bharatenterprises_vja@yahoo.co.in, ,,,,,1000860,MG01,Distributor,,1,-141764,,,,
AMR ELECTRICALS & PAINTS,MAIN ROAD  GUNTUR DIST  DACHEPALLI, ,DACHEPALLI,522414, , ,,,,,1000861,MG08,Distributor,,1,-3118,,,,
CHANDRASEKHAR ELECTRICALS & GENERAL,PULLALA CHERUVU ROAD , ,YERRAGONDA,523327, , ,,,,,1000862,MG08,Distributor,,1,-6013,,,,
VICTOR INTERIOR & HARDWARE,SHOP NO:8/9 AJINKYA ARCADE SHIVAJI, ,RATNAGIRI,415606,interiorvictor@yahoo.com,9822152345,,,,,1000863,MG02,Distributor,,500000,0,,,,
SSM BUILDERS & PROMOTERS,S.NO. 501 OUTHUR ROAD ALAPAKKAM  NE, ,CHENNAI,600063, , ,,,,,1000864,MG09,Distributor,,1,0,,,,
UNIVERSAL FRIENDS WHOLESALE TRADERS,36/1/34 EMANIPALEM  NEAR MUNICIPAL, ,ONGOLE,523001,universalfriendstraders@gmail.com, ,,,,,1000865,MG01,Distributor,,1,-1172451.51,,,,
GULLAPUDI SATYANANDAM AND SONS,NO.29-9-12 MANDAPATI VARI STREET  O, ,KAKINADA,533007, , ,,,,,1000866,MG01,Distributor,,1,74664,,,,
SRI LAKSMIVENKATESHWARA IRRIGATION,SHOP NO-05 SRI LAKSHMIVENKATESHWARA, ,CHIKKABALLAPUR,562101, , ,,,,,1000867,MG03,Distributor,,1,-991206,,,,
J.K.STEEL TRADERS,NEAR TAPCMS RICE MILL HONNALI , ,HONNALI,577217,asad.jksteeltraders@gmail.com, ,,,,,1000868,MG03,Distributor,,1,50000,,,,
KHAN MACHINARY,CHOWBARA ROAD  UDGIR  DIST- LATUR, ,UDGIR,431517,khanmachinery1234@gmail.com,9860079864,,,,,1000869,MG08,Distributor,,1,-5742,,,,
INDIAN PIPES,25/W4 ISAC BOTHNAGAR STREET , ,CUMBUM,625516, , ,,,,,1000870,MG09,Distributor,,1,-446073,,,,
SONA ENGINEERS,042/2/2/2 KRISHNAI WAREHOUSE  FURSI, ,PUNE,412308, , ,,,,,1000872,MG08,Distributor,,1,43120,,,,
NATIONAL SANITATION,C/O GANGA HOTEL PVT. LTD.  DREAM HO, ,VAPI,396191,info@nationalsanitation.net, ,,,,,1000873,MG10,Distributor,,1,0,,,,
JAGADAMBA SALES CORPORATION,PLOT NO 67 68 69 70 71 AND 72  SURV, ,RANGA REDDY,500076,clbsolanki@gmail.com,9347358901,,,,,1000267,MG01,Distributor,,4500000,31653.02,,,,
JINDAL SALES CORP.,OLD COURT ROAD  GALI NO. 1 NEAR RAI, ,SIRSA,125055,gauravjindal76@gmail.com, ,,,,,1000269,MG07,Distributor,,2500000,6008.79,,,,
JAIN IRON & FITTING STORE,56 SHOPPING CENTRE  JHALAWAR ROAD , ,KOTA,324007,jainironkota@gmail.com,9829231000,,,,,1000271,MG08,Distributor,,2500000,-315863,,,,
J.P.BROTHERS & CO.,8-A GIDC OPP. MADHUSUDAN CERAMIC  B, ,KADI,382715,jpbrothers@gmail.com,9979898910,,,,,1000272,MG08,Distributor,,5000000,504552,,,,
MAHIMA UDYOG,PLOT NO. 144-145  SECTOR - IIDC SID, ,HARIDWAR,249403, , ,,,,,1000370,MG04,Distributor,,1,0,,,,
PRISM SURFACE COATINGS (P) LTD,NO.89  3RD CROSS ROAD  4TH PHASE  B, ,BANGALORE,560099, ,8110417999,,,,,1000488,MG04,Distributor,,1,-31185,,,,
SRI RAM TRADERS,12-E VAIGUNDA PERUMAL KOIL STREET, ,KANCHIPURAM,631502,mla.kanchi@gmsil.com, ,,,,,1000618,MG09,Distributor,,2300000,-82876,,,,
